Date,Region,Product,Category,Units_Sold,Unit_Price,Revenue,Cost,Profit,Sales_Rep,Customer_Segment
2024-01-05,North,Laptop Pro,Electronics,12,1299.99,15599.88,9359.93,6239.95,Alice Johnson,Enterprise
2024-01-08,South,Wireless Mouse,Accessories,85,29.99,2549.15,1274.58,1274.57,Bob Smith,SMB
2024-01-12,East,Cloud Suite,Software,34,199.99,6799.66,2039.90,4759.76,Carol Davis,Enterprise
2024-01-15,West,USB-C Hub,Accessories,67,49.99,3349.33,1674.67,1674.66,David Lee,Consumer
2024-01-18,North,Laptop Pro,Electronics,8,1299.99,10399.92,6239.95,4159.97,Alice Johnson,Enterprise
2024-01-22,South,Cloud Suite,Software,22,199.99,4399.78,1319.93,3079.85,Eve Martinez,SMB
2024-01-25,East,Monitor 4K,Electronics,15,599.99,8999.85,5399.91,3599.94,Carol Davis,Enterprise
2024-01-28,West,Keyboard Mech,Accessories,43,89.99,3869.57,1934.79,1934.78,Frank Wilson,Consumer
2024-02-02,North,Cloud Suite,Software,45,199.99,8999.55,2699.87,6299.69,Alice Johnson,Enterprise
2024-02-05,South,Laptop Pro,Electronics,6,1299.99,7799.94,4679.96,3119.98,Bob Smith,SMB
2024-02-08,East,Wireless Mouse,Accessories,120,29.99,3598.80,1799.40,1799.40,Carol Davis,Consumer
2024-02-12,West,Monitor 4K,Electronics,18,599.99,10799.82,6479.89,4319.93,David Lee,Enterprise
2024-02-15,North,USB-C Hub,Accessories,55,49.99,2749.45,1374.73,1374.73,Grace Kim,SMB
2024-02-18,South,Keyboard Mech,Accessories,38,89.99,3419.62,1709.81,1709.81,Eve Martinez,Consumer
2024-02-22,East,Laptop Pro,Electronics,10,1299.99,12999.90,7799.94,5199.96,Carol Davis,Enterprise
2024-02-25,West,Cloud Suite,Software,28,199.99,5599.72,1679.92,3919.80,Frank Wilson,SMB
2024-03-01,North,Monitor 4K,Electronics,22,599.99,13199.78,7919.87,5279.91,Alice Johnson,Enterprise
2024-03-05,South,USB-C Hub,Accessories,72,49.99,3599.28,1799.64,1799.64,Bob Smith,Consumer
2024-03-08,East,Keyboard Mech,Accessories,56,89.99,5039.44,2519.72,2519.72,Carol Davis,SMB
2024-03-12,West,Wireless Mouse,Accessories,95,29.99,2849.05,1424.53,1424.53,David Lee,Consumer
2024-03-15,North,Laptop Pro,Electronics,14,1299.99,18199.86,10919.92,7279.94,Grace Kim,Enterprise
2024-03-18,South,Cloud Suite,Software,40,199.99,7999.60,2399.88,5599.72,Eve Martinez,Enterprise
